author_id,author_name,citing_paper,cited_paper
zh3foWUAAAAJ,S Di,A survey on error-bounded lossy compression for scientific datasets,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
7X0j6LYAAAAJ,J Liu,A survey on error-bounded lossy compression for scientific datasets,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
etsusEoAAAAJ,K Zhao,A survey on error-bounded lossy compression for scientific datasets,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
QRj1QroAAAAJ,X Liang,A survey on error-bounded lossy compression for scientific datasets,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
GbhfWUIAAAAJ,R Underwood,A survey on error-bounded lossy compression for scientific datasets,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,R Underwood… - ACM computing …,A survey on error-bounded lossy compression for scientific datasets,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,2025,A survey on error-bounded lossy compression for scientific datasets,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
zh3foWUAAAAJ,S Di,A survey on error-bounded lossy compression for scientific datasets,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
7X0j6LYAAAAJ,J Liu,A survey on error-bounded lossy compression for scientific datasets,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
etsusEoAAAAJ,K Zhao,A survey on error-bounded lossy compression for scientific datasets,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
QRj1QroAAAAJ,X Liang,A survey on error-bounded lossy compression for scientific datasets,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
GbhfWUIAAAAJ,R Underwood,A survey on error-bounded lossy compression for scientific datasets,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,R Underwood… - ACM computing …,A survey on error-bounded lossy compression for scientific datasets,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,2025,A survey on error-bounded lossy compression for scientific datasets,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
zh3foWUAAAAJ,S Di,A survey on error-bounded lossy compression for scientific datasets,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
7X0j6LYAAAAJ,J Liu,A survey on error-bounded lossy compression for scientific datasets,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
etsusEoAAAAJ,K Zhao,A survey on error-bounded lossy compression for scientific datasets,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
QRj1QroAAAAJ,X Liang,A survey on error-bounded lossy compression for scientific datasets,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
GbhfWUIAAAAJ,R Underwood,A survey on error-bounded lossy compression for scientific datasets,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
MFWUo10AAAAJ,S Wu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
aZblD2cAAAAJ,J Pan,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
7X0j6LYAAAAJ,J Liu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Si2zZaIAAAAJ,J Tian,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
-LmdfGcAAAAJ,Z Qiu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
lv5EK6AAAAAJ,J Huang,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,J Huang… - Proceedings of the …,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,2025,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
MFWUo10AAAAJ,S Wu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
aZblD2cAAAAJ,J Pan,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
7X0j6LYAAAAJ,J Liu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
Si2zZaIAAAAJ,J Tian,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
-LmdfGcAAAAJ,Z Qiu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
lv5EK6AAAAAJ,J Huang,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
7X0j6LYAAAAJ,J Liu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Si2zZaIAAAAJ,J Tian,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
MFWUo10AAAAJ,S Wu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
zh3foWUAAAAJ,S Di,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
GKlJrYYAAAAJ,B Zhang,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
lv5EK6AAAAAJ,J Huang,gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
zh3foWUAAAAJ,S Di,gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
1sefeCkAAAAJ,X Yu,gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Op1bp3UAAAAJ,Y Zhai,gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
7X0j6LYAAAAJ,J Liu,gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
r8qwkW8AAAAJ,Y Huang,gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,Y Huang… - Proceedings of the 38th …,gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,2024,gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
lv5EK6AAAAAJ,J Huang,gzccl: Compression-accelerated collective communication framework for gpu clusters,Exploring wavelet transform usages for error-bounded scientific data compression
zh3foWUAAAAJ,S Di,gzccl: Compression-accelerated collective communication framework for gpu clusters,Exploring wavelet transform usages for error-bounded scientific data compression
1sefeCkAAAAJ,X Yu,gzccl: Compression-accelerated collective communication framework for gpu clusters,Exploring wavelet transform usages for error-bounded scientific data compression
Op1bp3UAAAAJ,Y Zhai,gzccl: Compression-accelerated collective communication framework for gpu clusters,Exploring wavelet transform usages for error-bounded scientific data compression
7X0j6LYAAAAJ,J Liu,gzccl: Compression-accelerated collective communication framework for gpu clusters,Exploring wavelet transform usages for error-bounded scientific data compression
r8qwkW8AAAAJ,Y Huang,gzccl: Compression-accelerated collective communication framework for gpu clusters,Exploring wavelet transform usages for error-bounded scientific data compression
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
