citing_paper,cited_paper
 A Comparison of OFDM Techniques in Massive MIMO on Data Throughput and Spectral Efficiency in Digital Wireless Communication Systems,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
 A Tale of Many Networks: Splitting and Merging of Chord-like Overlays in Partitioned Networks,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
 An Idleness-and Failure-Tolerant Pipeline Broadcast Protocol for MPI,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
 An efficient open-source design and implementation framework for non-quantized CNNs on FPGAs,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
 Analyzing the Impact of Kernel Fusion on GPU Tensor Operation Performance: A Systematic Performance Study,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
 Beyond compensation: A holistic approach to employee retention in the era of remote work and technological change,SWARM: Reimagining scientific workflow management systems in a distributed world
 Deep Learning-Based 30-Day Mortality Prediction in Critically Ill Bone and Bone Marrow Metastasis Patients: A Multicenter Retrospective Cohort Study,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
 Fundamental Blocks for Establishing Secure and Scalable Continual Learning within Contemporary AI Systems,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
 GEMM-ArchProfiler: A simulation framework for hardware-level profiling and performance analysis of General Matrix Multiplication in real CNN workloads on …,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
 Hierarchical Deep Learning Model for Identifying Similar Targets in UAV Imagery,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
 Improving K-Means Clustering: A Comparative Study of Parallelized Version of Modified K-Means Algorithm for Clustering of Satellite Images,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
 New techniques for the Reliability Evaluation of AI-oriented Hardware Accelerators,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
" On Bayesian Methods for Black-Box Optimization: Efficiency, Adaptation and Reliability",A curriculum learning approach to optimization with application to downlink beamforming
 The prediction of the resistant starch production using transformer-based deep learning models,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
 Verwendungsnachweis DaREXA-F Teil II,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
" What to Support when You're Compressing: The State of Practice, Gaps, and Opportunities for Scientific Data Compression",Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
 面向飞腾处理器平台的快速卷积算法优化,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
A Federated Learning-based Aflatoxin M1 Prediction Model Under a Data Enhancement Strategy,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
A Perpetual Compression Scheme for Delay Tolerant Communication,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
A greedy consensus-based approach to distributed job selection: toward fully-decentralized workload management system,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
A hybrid PCA-PR-Seq2Seq-Adam-LSTM framework for time-series power outage prediction,A curriculum learning approach to optimization with application to downlink beamforming
A survey on error-bounded lossy compression for scientific datasets,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
A survey on error-bounded lossy compression for scientific datasets,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
A survey on error-bounded lossy compression for scientific datasets,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
AI-optimized GRU-based self-attention model for predictive diabetes staging in IoT healthcare 5.0,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
Adaptive soft error protection for neural network processing,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
ApproxABFT: Approximate Algorithm-Based Fault Tolerance for Neural Network Processing,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
ApproxABFT: Approximate Algorithm-Based Fault Tolerance for Neural Network Processing,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
Architectural-Aware Performance Optimization: From the Foundational Math Library to Cutting-Edge Applications,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
Architectural-Aware Performance Optimization: From the Foundational Math Library to Cutting-Edge Applications,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
AttnBoost: Retail Supply Chain Sales Insights via Gradient Boosting Perspective,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
Attn‐BiGRU: Angular‐aware attention with curriculum learning for adaptive beamforming,A curriculum learning approach to optimization with application to downlink beamforming
Automatic Parameter Tuning for CUTLASS Matrix Multiplication Based on Multi-Task Learning with DSSM,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
Beating vDSP: A 138 GFLOPS radix-8 Stockham FFT on Apple Silicon via two-tier register-threadgroup memory decomposition,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
Benchmarking Cutting-Edge Scientific Error-Bounded Lossy Compressors on Correlation-Based Rate-Distortion,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
CCL-D: A High-Precision Diagnostic System for Slow and Hang Anomalies in Large-Scale Model Training,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
COCCL: A Collective Communication Library Supporting Easy Integration and Configuration of Customized Compression for Scalable LLM Training,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Checkpointing fine-tuning for accelerating seismic applications in GPUs,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
Classical simulation of quantum circuits: Parallel environments and benchmark,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
Data reuse and locality optimization method based on GEMM,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
Decentralized learning based on gradient coding with compressed communication,A curriculum learning approach to optimization with application to downlink beamforming
DeepCQ: General-Purpose Deep-Surrogate Framework for Lossy Compression Quality Prediction,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Delta-Attention-Based Deep Learning Model for Diabetes Prediction in Consumer Health Monitoring Systems,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
Design and Implementation of High Reliability Heterogeneous Software Architecture Based on SoC Chip,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
